country,continent,year,lifeExp,pop,gdpPercap,,,,,,,
China,Asia,1952,44,556263527,400.4486,,,,,,,
China,Asia,1957,50.54896,637408000,575.987,,,,,,,
China,Asia,1962,44.50136,665770000,487.674,,,,,,,
China,Asia,1967,58.38112,754550000,612.7057,,,,,,,
China,Asia,1972,63.11888,862030000,676.9001,,,,,,,
China,Asia,1977,63.96736,943455000,741.2375,,,,,,,
China,Asia,1982,65.525,1000281000,962.4214,,,,,,,
China,Asia,1987,67.274,1084035000,1378.904,,,,,,,
China,Asia,1992,68.69,1164970000,1655.7842,,,,,,,
China,Asia,1997,70.426,1230075000,2289.2341,,,,,,,
China,Asia,2002,72.028,1280400000,3119.2809,,,,,,,
China,Asia,2007,72.961,1318683096,4959.1149,,,,,,,
Japan,Asia,1952,63.03,86459025,3216.9563,,,,,,,
Japan,Asia,1957,65.5,91563009,4317.6944,,,,,,,
Japan,Asia,1962,68.73,95831757,6576.6495,,,,,,,
Japan,Asia,1967,71.43,100825279,9847.7886,,,,,,,
Japan,Asia,1972,73.42,107188273,14778.7864,,,,,,,
Japan,Asia,1977,75.38,113872473,16610.377,,,,,,,
Japan,Asia,1982,77.11,118454974,19384.1057,,,,,,,
Japan,Asia,1987,78.67,122091325,22375.9419,,,,,,,
Japan,Asia,1992,79.36,124329269,26824.8951,,,,,,,
Japan,Asia,1997,80.69,125956499,28816.585,,,,,,,
Japan,Asia,2002,82,127065841,28604.5919,,,,,,,
Japan,Asia,2007,82.603,127467972,31656.0681,,,,,,,
North Korea,Asia,1952,50.056,8865488,1088.2778,,,,,,,
North Korea,Asia,1957,54.081,9411381,1571.1347,,,,,,,
North Korea,Asia,1962,56.656,10917494,1621.6936,,,,,,,
North Korea,Asia,1967,59.942,12617009,2143.5406,,,,,,,
North Korea,Asia,1972,63.983,14781241,3701.6215,,,,,,,
North Korea,Asia,1977,67.159,16325320,4106.3012,,,,,,,
North Korea,Asia,1982,69.1,17647518,4106.5253,,,,,,,
North Korea,Asia,1987,70.647,19067554,4106.4923,,,,,,,
North Korea,Asia,1992,69.978,20711375,3726.0635,,,,,,,
North Korea,Asia,1997,67.727,21585105,1690.7568,,,,,,,
North Korea,Asia,2002,66.662,22215365,1646.7582,,,,,,,
North Korea,Asia,2007,67.297,23301725,1593.0655,,,,,,,
South Korea,Asia,1952,47.453,20947571,1030.5922,,,,,,,
South Korea,Asia,1957,52.681,22611552,1487.5935,,,,,,,
South Korea,Asia,1962,55.292,26420307,1536.3444,,,,,,,
South Korea,Asia,1967,57.716,30131000,2029.2281,,,,,,,
South Korea,Asia,1972,62.612,33505000,3030.8767,,,,,,,
South Korea,Asia,1977,64.766,36436000,4657.221,,,,,,,
South Korea,Asia,1982,67.123,39326000,5622.9425,,,,,,,
South Korea,Asia,1987,69.81,41622000,8533.0888,,,,,,,
South Korea,Asia,1992,72.244,43805450,12104.2787,,,,,,,
South Korea,Asia,1997,74.647,46173816,15993.528,,,,,,,
South Korea,Asia,2002,77.045,47969150,19233.9882,,,,,,,
South Korea,Asia,2007,78.623,49044790,23348.1397,,,,,,,
